iter	Passed	Remaining
0	2	225
1	4	226
2	6	218
3	8	205
4	10	204
5	12	201
6	15	200
7	17	199
8	19	197
9	21	197
10	24	194
11	26	191
12	28	188
13	30	185
14	32	183
15	34	178
16	35	174
17	37	169
18	38	165
19	40	160
20	41	156
21	42	152
22	44	148
23	45	144
24	46	140
25	48	136
26	49	133
27	50	130
28	51	127
29	52	123
30	53	119
31	54	116
32	55	113
33	56	110
34	57	107
35	58	104
36	59	102
37	61	99
38	62	97
39	63	94
40	64	92
41	65	89
42	66	87
43	67	85
44	67	83
45	68	80
46	69	78
47	70	76
48	72	74
49	73	73
50	74	71
51	75	69
52	76	67
53	77	65
54	78	63
55	79	62
56	80	60
57	81	59
58	82	57
59	83	55
60	84	54
61	85	52
62	86	51
63	87	49
64	89	47
65	90	46
66	91	44
67	92	43
68	93	41
69	94	40
70	95	39
71	96	37
72	98	36
73	99	34
74	100	33
75	101	32
76	102	30
77	103	29
78	104	27
79	105	26
80	106	24
81	107	23
82	109	22
83	110	20
84	111	19
85	112	18
86	113	16
87	114	15
88	115	14
89	116	12
90	117	11
91	118	10
92	119	8
93	120	7
94	121	6
95	122	5
96	123	3
97	124	2
98	125	1
99	126	0
