iter	Passed	Remaining
0	158	157927
1	166	83275
2	174	57835
3	181	45190
4	188	37483
5	192	31915
6	194	27661
7	197	24482
8	199	21933
9	200	19892
10	202	18228
11	204	16863
12	206	15664
13	207	14628
14	209	13736
15	210	12950
16	211	12244
17	213	11630
18	214	11075
19	215	10565
20	216	10102
21	218	9713
22	219	9330
23	220	8984
24	221	8652
25	223	8355
26	224	8072
27	225	7813
28	226	7569
29	227	7342
30	228	7130
31	229	6927
32	230	6741
33	230	6562
34	231	6396
35	233	6253
36	234	6102
37	235	5960
38	236	5825
39	237	5696
40	238	5574
41	239	5460
42	240	5350
43	241	5246
44	242	5147
45	243	5050
46	244	4956
47	245	4867
48	246	4783
49	247	4707
50	248	4629
51	249	4554
52	250	4481
53	251	4411
54	252	4344
55	254	4282
56	255	4219
57	256	4158
58	257	4099
59	257	4041
60	259	3988
61	260	3935
62	261	3892
63	262	3843
64	263	3794
65	264	3747
66	265	3701
67	266	3657
68	267	3614
69	268	3572
70	269	3531
71	270	3491
72	271	3451
73	272	3414
74	273	3376
75	274	3340
76	275	3306
77	277	3275
78	278	3243
79	279	3211
80	280	3179
81	281	3148
82	281	3113
83	282	3083
84	283	3054
85	284	3025
86	285	2997
87	286	2970
88	287	2944
89	288	2918
90	289	2895
91	291	2873
92	292	2852
93	293	2829
94	294	2807
95	295	2784
96	296	2761
97	297	2740
98	298	2718
99	299	2697
100	300	2676
101	301	2655
102	302	2636
103	303	2618
104	304	2599
105	306	2582
106	307	2566
107	308	2549
108	309	2531
109	310	2513
110	311	2496
111	312	2479
112	313	2463
113	314	2448
114	316	2432
115	316	2415
116	317	2398
117	318	2382
118	319	2367
119	320	2351
120	321	2338
121	322	2322
122	323	2308
123	324	2295
124	325	2280
125	327	2268
126	327	2254
127	329	2241
128	330	2228
129	331	2215
130	332	2204
131	333	2192
132	334	2180
133	335	2168
134	336	2158
135	337	2145
136	338	2133
137	339	2123
138	341	2112
139	342	2101
140	343	2090
141	343	2077
142	344	2067
143	346	2057
144	347	2046
145	348	2036
146	349	2026
147	350	2016
148	351	2008
149	353	2000
150	354	1991
151	355	1981
152	356	1971
153	357	1962
154	358	1953
155	359	1944
156	360	1935
157	361	1926
158	362	1917
159	363	1908
160	364	1897
161	365	1888
162	366	1882
163	368	1876
164	369	1870
165	370	1862
166	371	1854
167	372	1845
168	373	1837
169	374	1829
